From Date,To Date,pm2_5,pm10,NO,NO2,NOx
07-10-2021 01:00,07-10-2021 01:15,57,139,11.2,20.2,31.5
07-10-2021 01:15,07-10-2021 01:30,57,139,13.4,17.5,30.9
07-10-2021 01:30,07-10-2021 01:45,57,139,15.9,16.8,32.7
07-10-2021 01:45,07-10-2021 02:00,57,139,11.5,18.1,29.6
07-10-2021 02:00,07-10-2021 02:15,44,75,None,None,None
07-10-2021 02:15,07-10-2021 02:30,44,75,None,None,None
07-10-2021 02:30,07-10-2021 02:45,44,75,None,None,None
07-10-2021 02:45,07-10-2021 03:00,44,75,13.1,17.6,30.7
07-10-2021 03:00,07-10-2021 03:15,51,68,10,17.1,27.1
07-10-2021 03:15,07-10-2021 03:30,51,68,11.5,15.8,27.3
07-10-2021 03:30,07-10-2021 03:45,51,68,10.6,18.1,28.7
07-10-2021 03:45,07-10-2021 04:00,51,68,10.8,20.3,31.1
07-10-2021 04:00,07-10-2021 04:15,44,57,12,17.7,29.7
07-10-2021 04:15,07-10-2021 04:30,44,57,11.5,16.9,28.4
07-10-2021 04:30,07-10-2021 04:45,44,57,8.9,18.3,27.2
07-10-2021 04:45,07-10-2021 05:00,44,57,14.6,16.6,31.2
07-10-2021 05:00,07-10-2021 05:15,46,57,13.1,16.5,29.5
07-10-2021 05:15,07-10-2021 05:30,46,57,16.1,14.1,30.2
07-10-2021 05:30,07-10-2021 05:45,46,57,13.9,14.7,28.6
07-10-2021 05:45,07-10-2021 06:00,46,57,13,14.8,27.8
07-10-2021 06:00,07-10-2021 06:15,39,40,13.9,14.4,28.3
07-10-2021 06:15,07-10-2021 06:30,39,40,25.1,10.6,35.7
07-10-2021 06:30,07-10-2021 06:45,39,40,36.8,14.8,51.6
07-10-2021 06:45,07-10-2021 07:00,39,40,25.8,15.7,41.4
07-10-2021 07:00,07-10-2021 07:15,50,68,20.9,14.8,35.7
07-10-2021 07:15,07-10-2021 07:30,50,68,14.7,15.2,30
07-10-2021 07:30,07-10-2021 07:45,50,68,13.3,17.4,30.7
07-10-2021 07:45,07-10-2021 08:00,50,68,9.7,17.7,27.4
07-10-2021 08:00,07-10-2021 08:15,52,86,6.7,15.8,22.6
07-10-2021 08:15,07-10-2021 08:30,52,86,2.8,14.7,17.5
07-10-2021 08:30,07-10-2021 08:45,52,86,4,15.2,19.2
07-10-2021 08:45,07-10-2021 09:00,52,86,6.5,16.6,23
07-10-2021 09:00,07-10-2021 09:15,62,122,6.3,22.7,29
07-10-2021 09:15,07-10-2021 09:30,62,122,4.4,17.1,21.6
07-10-2021 09:30,07-10-2021 09:45,62,122,3.5,16.4,19.9
07-10-2021 09:45,07-10-2021 10:00,62,122,6.3,15,21.3
07-10-2021 10:00,07-10-2021 10:15,66,122,1.9,13.9,15.8
07-10-2021 10:15,07-10-2021 10:30,66,122,4.6,11.5,16.1
07-10-2021 10:30,07-10-2021 10:45,66,122,1.1,14,15.1
07-10-2021 10:45,07-10-2021 11:00,66,122,2.2,12.5,14.7
07-10-2021 11:00,07-10-2021 11:15,70,135,2.4,13.3,15.7
07-10-2021 11:15,07-10-2021 11:30,70,135,3.8,12,15.8
07-10-2021 11:30,07-10-2021 11:45,70,135,4.3,10.3,14.5
07-10-2021 11:45,07-10-2021 12:00,70,135,3.4,6.9,10.4
07-10-2021 12:00,07-10-2021 12:15,57,119,2.4,7.7,10.1
07-10-2021 12:15,07-10-2021 12:30,57,119,1,6.7,7.7
07-10-2021 12:30,07-10-2021 12:45,57,119,2.8,8.9,11.7
07-10-2021 12:45,07-10-2021 13:00,57,119,1.9,7.4,9.2
